validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude,,,,,,,,,,,,
True,Holy Cross (Reilly Center),Church,"7100 West Ridge Road, Fairview PA",https://www.holycrossfairview.org,"Friday Mar 8 from 4:30 PM to 7:00 PM, Friday Mar 15 from 4:30 PM to 7:00 PM, Friday Mar 22 from 4:30 PM to 7:00 PM, Friday Mar 29 from 4:30 PM to 7:00 PM, Friday Apr 12 from 4:30 PM to 7:00 PM, Friday Apr 5 from 4:30 PM to 7:00 PM",,https://www.parishesonline.com/find/holy-cross-catholic-church/bulletin/file/14-1073-20190303B.pdf,"FISH, SHRIMP or COMBO $10.00/Adult $5.00/Children INCLUDES homemade coleslaw, potato, roll & butter, beverage and dessert; FISH SANDWICH $8.00 INCLUDES: homemade coleslaw, beverage and dessert; MACARONI & CHEESE $5.00/Person includes roll & butter, beverage and dessert. Take-outs are available.",,814-474-2605,,False,True,,False,,True,,42.03971,-80.245022,,,,,,,,,,,,
False,Hartford Heights Volunteer Fire Department,Fire Department,"14335 U.S. 30, Irwin, PA 15642",https://www.facebook.com/Hartford-Heights-VFD-336938100039050/,"Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM",,https://www.facebook.com/336938100039050/photos/a.336960460036814.1073741828.336938100039050/378264089239784/?type=3&theater,,,412-824-9972,,,True,,False,,False,90,40.352969,-79.767295,,,,,,,,,,,,
True,Upper Burrell VFC,Unsure / N/A,"4370 7th Street Road, New Kensington, Pennsylvania 15068, United States",https://www.facebook.com/Upper-Burrell-Twp-Firemans-Club-2110304392535985/,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM",,https://www.facebook.com/2110304392535985/photos/a.2110884645811293/2357466794486409/?type=3&theater,,,724-339-2080,,,,,False,,True,,40.549092,-79.665203,,,,,,,,,,,,
True,Beaver Valley Yacht Club,Community Organization,"219 Front Street, New Brighton, Pennsylvania 15066, United States",https://www.beavervalleyyachtclub.org/,"Friday Mar 8 from 12:00 PM to 7:00 PM, Friday Mar 15 from 12:00 PM to 7:00 PM, Friday Mar 22 from 12:00 PM to 7:00 PM, Friday Mar 29 from 12:00 PM to 7:00 PM, Friday Apr 5 from 12:00 PM to 7:00 PM, Friday Apr 12 from 12:00 PM to 7:00 PM, Friday Apr 19 from 12:00 PM to 7:00 PM",Although the Menu link says 2018 it is for 2019,https://www.beavervalleyyachtclub.org/2018-fall-fish-fry,,Clubhouse at top of driveway,(724) 847-4663,,,True,True,True,,True,,40.724576,-80.309452,,,,,,,,,,,,
False,"Our Lady of Joy, Holiday Park",Church,"2000 O'Block Road Holiday Park, PA",http://www.ourladyofjoy.org,"Wednesday Mar 6 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 4-7 p.m",,"Fried or baked cod sandwich, $7; fried or baked cod a la carte, $7; haluski, $3; grilled cheese, $2; macaroni and cheese, $1;  cole slaw, $1; french fries, $1",The Fish Fry is in Father Marchukanis Hall.,412-795-3388,,,,,,,False,22,40.480007,-79.719563,,,,,,,,,,,,
False,St Alphonsus Wheeling And St John Benwood Combined Fish Fry,Church,"2111 Market St, Wheeling, WV",http://stalswheeling.org/,"Wednesday Mar 6 from 11:00 AM to 6:00 PM, Friday Apr 5 from 11:00 AM to 6:00 PM, Friday Mar 22 from 11:00 AM to 6:00 PM, Friday Mar 15 from 11:00 AM to 6:00 PM, Friday Mar 29 from 11:00 AM to 6:00 PM, Friday Apr 19 from 11:00 AM to 6:00 PM, Friday Mar 8 from 11:00 AM to 6:00 PM, Friday Apr 12 from 11:00 AM to 6:00 PM","Eat in or take out. This is a cooperative effort between the Parishes of St Alphonsus and St John to share good food, good times, and community. Your support and patronage is welcome and truly appreciated.",,"Menu consists of fish sandwiches, french fries, macaroni and cheese, cabbage and noodles, cole slaw, deserts, and refreshments. Eat in or take out.",At the St. Alphonsus Parish Hall (Gym),304-905-6589 takeout,,False,True,,True,,False,272,40.060984,-80.723752,,,,,,,,,,,,
True,Elrama Tavern,Unsure / N/A,"1520 State Rte 837, Elrama, Pennsylvania 15038, United States",,"Wednesday Mar 6 from 11:00 AM to 11:00 PM, Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 PM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM",,,,,,,,True,True,True,,True,,40.254873,-79.922538,,,,,,,,,,,,
True,St. Mary of the Mount Church - Sullivan Hall,Church,"131 Bigham, Pittsburgh, PA",http://www.smomp.org,"Friday Mar 8 from 4:30 PM to 7:30 PM, Friday Mar 15 from 4:30 PM to 7:30 PM, Friday Mar 22 from 4:30 PM to 7:30 PM, Friday Mar 29 from 4:30 PM to 7:30 PM, Friday Apr 5 from 4:30 PM to 7:30 PM, Friday Apr 12 from 4:30 PM to 7:30 PM",,http://www.smomp.org/files/Fish%20Fry%20Menu.pdf,"Fried and baked fish dinners; shrimp dinner; homemade pierogies; macaroni and cheese; cole slaw; soups; desserts.
$10 adults; $9 seniors; $5 child; $8 sandwich.
Takeout offered",,412-841-4089,,True,True,,,,True,,40.435178,-80.014238,,,,,,,,,,,,
True,Ancient Order of Hibernians,Community Organization,"302 Mansfield Boulevard, Carnegie, Pennsylvania 15106, United States",http://www.aohdivision32.org/,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM",Pittsburgh's Ultimate Fish Fry Champion 2018,,Serving hand-breaded haddock. Baked and fried fish offerings. Desserts by the LAOH.,"Ukaranian American Citizens Club, Social Hall dining room",xxx-xxx-xxxx,aohdiv32@gmail.com,,True,,False,,True,,40.409676,-80.084688,,,,,,,,,,,,
True,Bridgeville Volunteer Fire Department,Fire Department,"370 Commercial Street, Bridgeville, PA",,"Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM",,https://www.facebook.com/BridgevilleVFD/photos/a.1786728501384497/2286777238046285/?type=3&theater,"Come join us for our annual fish fry! We welcome you to come sit down, have dinner, enjoy some dessert, soda and beer. We have a take out option available if you would like to enjoy our amazing menu from your own home. We gladly accept cash, and starting this year we will be accepting all major credit cards. Please keep in mind that all food is made to order!

Our fish fry dates this year are March 15th, March 29th and April 12th.",,412-221-1711,,,True,True,False,,True,,40.362,-80.106939,,,,,,,,,,,,
